Gene	Rho	P_val
E2F3	-6.118e-02	4.510e-01
E2F4	9.266e-02	2.531e-01
E2F5	-7.846e-02	3.335e-01
E2F6	-9.866e-02	2.235e-01
EBF1	7.243e-02	3.721e-01
ECT2L	6.253e-02	4.411e-01
EED	-1.764e-01	2.866e-02
EGF	9.436e-03	9.075e-01
EGFL7	-2.204e-02	7.861e-01
EGFR	2.269e-01	4.655e-03
EGLN1	1.468e-01	6.920e-02
ELF3	-7.733e-02	3.405e-01
ELOC	-3.554e-02	6.617e-01
EMSY	1.465e-01	6.988e-02
ENG	-5.125e-02	5.279e-01
EP300	2.340e-02	7.733e-01
EPCAM	-1.059e-01	1.914e-01
EPHA2	3.043e-02	7.079e-01
EPHA3	4.401e-02	5.878e-01
EPHA5	-6.418e-02	4.291e-01
EPHA7	-3.469e-02	6.693e-01
EPHB1	-6.938e-02	3.925e-01
EPHB2	2.338e-01	3.518e-03
EPOR	6.961e-02	3.909e-01
ERBB2	1.256e-01	1.206e-01
ERBB3	2.676e-02	7.419e-01
ERBB4	4.353e-02	5.919e-01
ERCC1	-1.595e-01	4.815e-02
ERCC2	9.400e-04	9.908e-01
ERCC3	-9.803e-02	2.265e-01
ERCC4	1.021e-01	2.079e-01
ERCC5	3.334e-02	6.815e-01
ERCC6	-9.472e-03	9.072e-01
ERG	-2.625e-02	7.466e-01
ERRFI1	-5.694e-02	4.831e-01
ESR1	-6.520e-02	4.217e-01
ESR2	-1.915e-02	8.137e-01
ETS1	-2.407e-01	2.635e-03
ETS2	1.588e-02	8.451e-01
ETV1	1.004e-01	2.154e-01
ETV4	5.073e-02	5.321e-01
ETV5	2.950e-01	2.036e-04
ETV6	-1.321e-01	1.024e-01
EWSR1	7.358e-02	3.645e-01
EXT2	4.102e-02	6.135e-01
EZH2	2.689e-01	7.473e-04
FAM46C	-3.001e-02	7.118e-01
FANCA	-8.566e-02	2.908e-01
FANCB	7.071e-02	3.835e-01
FANCC	8.066e-02	3.200e-01
FANCD2	-2.323e-01	3.742e-03
FANCE	4.312e-02	5.954e-01
FANCF	5.442e-02	5.027e-01
FANCG	-1.565e-01	5.261e-02
FANCI	1.401e-01	8.310e-02
FANCL	1.496e-01	6.402e-02
FANCM	1.765e-01	2.852e-02
FAS	-5.573e-02	4.924e-01
FAT1	-5.760e-02	4.780e-01
FBXO11	-7.719e-02	3.414e-01
FBXW7	-1.268e-01	1.170e-01
FCGR2A	1.134e-01	1.613e-01
FCGR3A	-1.050e-01	1.951e-01
FDPS	-9.175e-02	2.578e-01
FGF1	1.590e-01	4.883e-02
FGF10	1.104e-01	1.730e-01
FGF14	5.163e-02	5.248e-01
FGF19	-2.729e-01	6.179e-04
FGF2	1.440e-01	7.485e-02
FGF23	3.202e-01	5.159e-05
FGF3	-3.082e-01	1.006e-04
FGF4	-2.992e-01	1.635e-04
FGF5	-2.831e-02	7.275e-01
FGF6	-1.638e-01	4.240e-02
FGF7	3.945e-02	6.271e-01
FGF8	1.128e-01	1.637e-01
FGF9	-4.911e-02	5.453e-01
FGFR1	-4.808e-02	5.538e-01
FGFR2	4.627e-02	5.688e-01
FGFR3	1.200e-01	1.382e-01
FGFR4	-1.723e-01	3.266e-02
FH	1.300e-02	8.728e-01
FHIT	2.753e-01	5.481e-04
FLCN	2.870e-02	7.238e-01
FLG	-8.054e-02	3.208e-01
FLT1	-6.240e-02	4.420e-01
FLT3	1.821e-01	2.381e-02
FLT4	2.363e-02	7.711e-01
FNTB	-2.460e-01	2.099e-03
FOXA1	-2.208e-01	5.932e-03
FOXL2	-8.837e-02	2.758e-01
FOXO1	7.186e-03	9.295e-01
FOXO3	4.165e-02	6.081e-01
FOXP1	-1.703e-01	3.471e-02
FOXQ1	-1.103e-01	1.732e-01
FRS2	1.204e-01	1.369e-01
FUBP1	4.582e-02	5.725e-01
FUS	-9.954e-02	2.193e-01
FYN	6.508e-02	4.226e-01
G6PD	2.260e-01	4.820e-03
GABRA6	-9.416e-02	2.454e-01
GALNT12	-4.211e-02	6.041e-01
GATA1	2.084e-01	9.506e-03
GATA2	-2.408e-03	9.764e-01
GATA3	-5.670e-02	4.849e-01
GATA4	-2.608e-02	7.482e-01
GATA6	-5.320e-02	5.123e-01
GEN1	-5.373e-02	5.081e-01
GID4	-1.259e-01	1.198e-01
GLI1	-7.633e-02	3.467e-01
GLI2	8.714e-02	2.825e-01
GLI3	-1.089e-01	1.789e-01
GNA11	-8.456e-02	2.971e-01
GNA13	1.393e-01	8.478e-02
GNAQ	7.093e-02	3.820e-01
GNAS	-2.298e-01	4.152e-03
GPC3	2.014e-01	1.224e-02
GPER1	2.987e-01	1.683e-04
GPS2	7.253e-02	3.713e-01
GREM1	8.093e-02	3.184e-01
GRIN2A	-9.821e-02	2.256e-01
GRM3	-2.069e-01	1.003e-02
GSK3B	-6.097e-02	4.525e-01
GSTP1	2.929e-01	2.278e-04
H3F3A	nan	nan
H3F3C	3.225e-02	6.913e-01
HAS3	-4.414e-02	5.868e-01
HAVCR2	-8.899e-03	9.128e-01
HDAC1	-9.275e-02	2.526e-01
HDAC2	1.372e-01	8.971e-02
HDAC3	1.497e-01	6.395e-02
HDAC4	-8.444e-03	9.172e-01
HDAC5	5.285e-02	5.151e-01
HGF	-1.173e-01	1.475e-01
HIF1A	1.101e-01	1.742e-01
HIST1H1C	-8.134e-02	3.159e-01
HIST1H1E	1.104e-01	1.727e-01
HIST1H2BD	1.626e-01	4.398e-02
HIST1H3F	1.264e-01	1.183e-01
HIST1H4E	-5.707e-02	4.820e-01
HIST3H3	3.001e-02	7.118e-01
HLA-A	1.575e-01	5.115e-02
HLA-B	7.445e-02	3.588e-01
HLA-C	-4.111e-02	6.127e-01
HLA-DMA	-9.248e-02	2.540e-01
HLA-DMB	2.061e-02	7.997e-01
HLA-DOA	5.284e-04	9.948e-01
HLA-DOB	nan	nan
HLA-DPA1	4.756e-03	9.533e-01
HLA-DPB1	2.637e-02	7.455e-01
HLA-DQA1	7.579e-02	3.502e-01
HLA-DQA2	8.515e-02	2.937e-01
HLA-DQB1	4.133e-02	6.108e-01
HLA-DQB2	-1.139e-01	1.597e-01
HLA-DRA	3.225e-02	6.913e-01
HLA-DRB1	-7.028e-02	3.864e-01
HLA-DRB5	-3.523e-02	6.645e-01
HLA-E	-6.401e-02	4.303e-01
HLA-F	-4.834e-02	5.517e-01
HLA-G	1.988e-01	1.346e-02
HNF1A	7.822e-02	3.349e-01
HNF1B	-5.302e-02	5.137e-01
HOXB13	-7.637e-02	3.465e-01
HRAS	-5.969e-02	4.621e-01
HSD3B1	3.543e-02	6.627e-01
HSP90AA1	-1.255e-01	1.208e-01
HSPH1	-4.118e-02	6.121e-01
IDH1	2.064e-02	7.994e-01
IDH2	-1.286e-01	1.120e-01
IDO1	1.661e-02	8.380e-01
IFIT1	2.083e-01	9.518e-03
IFIT2	1.478e-01	6.744e-02
IFIT3	-2.524e-01	1.589e-03
IFNAR1	3.183e-02	6.952e-01
IFNAR2	7.562e-02	3.513e-01
IFNGR1	-1.744e-02	8.300e-01
IFNGR2	7.621e-02	3.476e-01
IFNL3	1.653e-01	4.047e-02
IGF1	2.051e-01	1.071e-02
IGF1R	-1.811e-01	2.458e-02
IGF2	-2.237e-02	7.831e-01
IKBKE	9.653e-02	2.337e-01
IKZF1	1.302e-01	1.075e-01
IKZF3	-6.617e-02	4.149e-01
IL10RA	-1.806e-02	8.241e-01
IL15	-1.348e-01	9.567e-02
IL2RA	2.270e-02	7.799e-01
IL6R	2.648e-02	7.444e-01
IL7R	-2.164e-01	7.026e-03
ING1	-1.192e-01	1.410e-01
INHBA	1.547e-01	5.543e-02
INPP4A	-1.836e-02	8.212e-01
INPP4B	7.083e-02	3.827e-01
INPPL1	-9.614e-02	2.356e-01
INSR	9.129e-02	2.602e-01
IRF1	-8.437e-02	2.982e-01
IRF2	-1.653e-01	4.053e-02
IRF4	1.044e-01	1.977e-01
IRS1	1.681e-01	3.713e-02
IRS2	-1.847e-02	8.201e-01
ITPKB	4.135e-02	6.106e-01
JAK1	-5.788e-02	4.758e-01
JAK2	1.761e-01	2.891e-02
JAK3	9.409e-02	2.458e-01
JUN	-1.214e-01	1.335e-01
KAT6A	-1.032e-01	2.030e-01
KDM5A	-2.789e-01	4.598e-04
KDM5C	-2.214e-01	5.787e-03
KDM6A	-2.472e-01	1.994e-03
KDM6B	2.005e-01	1.268e-02
KDR	-7.012e-02	3.875e-01
KEAP1	2.482e-01	1.909e-03
KEL	-9.549e-02	2.388e-01
KIF1B	-2.630e-02	7.461e-01
KIT	-2.468e-03	9.758e-01
KLF4	-4.775e-02	5.565e-01
KLHL6	2.139e-01	7.731e-03
KLLN	-9.939e-02	2.201e-01
KMT2A	-2.501e-02	7.581e-01
KMT2B	-6.471e-02	4.252e-01
KMT2C	-1.039e-01	1.999e-01
KMT2D	4.655e-02	5.665e-01
KRAS	-2.294e-01	4.213e-03
LAG3	2.690e-01	7.425e-04
LATS1	-3.743e-02	6.449e-01
LATS2	-1.838e-02	8.210e-01
LDLR	6.428e-03	9.369e-01
LEF1	-1.194e-02	8.832e-01
LMNA	2.810e-02	7.294e-01
LMO1	1.234e-01	1.275e-01
LRP1B	1.056e-01	1.923e-01
LYN	-5.049e-02	5.340e-01
LZTR1	6.421e-02	4.289e-01
MAD2L2	-3.095e-02	7.031e-01
MAF	-1.261e-01	1.193e-01
MAFB	-2.246e-01	5.111e-03
MAGI2	2.923e-01	2.347e-04
MALT1	-1.877e-01	1.975e-02
MAP2K1	-3.492e-02	6.672e-01
MAP2K2	-5.935e-02	4.647e-01
MAP2K4	-1.528e-01	5.843e-02
MAP3K1	-3.706e-02	6.482e-01
MAP3K7	-6.009e-02	4.591e-01
MAPK1	2.530e-02	7.555e-01
MAX	-1.526e-01	5.890e-02
MC1R	1.895e-02	8.156e-01
MCL1	-3.937e-02	6.278e-01
MDC1	-2.767e-02	7.334e-01
MDM2	3.827e-03	9.624e-01
MDM4	-6.988e-02	3.891e-01
MECOM	9.845e-02	2.245e-01
MED1	8.922e-02	2.712e-01
MED12	-5.719e-02	4.812e-01
MEF2B	-3.790e-02	6.407e-01
MEN1	1.534e-01	5.751e-02
MET	-1.857e-01	2.115e-02
MGA	-9.768e-02	2.281e-01
MGMT	1.769e-01	2.822e-02
MIB1	-3.149e-02	6.982e-01
MITF	6.134e-04	9.940e-01
MKI67	-2.624e-02	7.467e-01
MLH1	-2.459e-01	2.110e-03
MLH3	1.077e-02	8.945e-01
MLLT3	-8.629e-02	2.873e-01
MPL	-1.684e-01	3.682e-02
MRE11	-1.496e-01	6.409e-02
MS4A1	-2.930e-02	7.183e-01
MSH2	-1.069e-01	1.871e-01
MSH3	1.342e-04	9.987e-01
MSH6	-8.227e-02	3.104e-01
MST1	1.161e-01	1.516e-01
MST1R	-1.783e-01	2.698e-02
MTA1	9.039e-02	2.649e-01
MTAP	-1.874e-01	1.995e-02
MTHFR	2.508e-02	7.575e-01
MTOR	-5.012e-02	5.370e-01
MTRR	1.771e-01	2.804e-02
MUTYH	3.008e-02	7.111e-01
MYB	1.979e-01	1.387e-02
MYC	-5.802e-02	4.748e-01
MYCL	2.103e-02	7.957e-01
MYCN	-6.376e-02	4.321e-01
MYD88	-1.459e-01	7.105e-02
MYH11	-1.915e-01	1.733e-02
MYOD1	1.062e-01	1.901e-01
NBN	-1.192e-01	1.411e-01
NCOA3	3.108e-01	8.756e-05
NCOR1	2.793e-02	7.310e-01
NCOR2	1.751e-01	2.990e-02
NEGR1	2.644e-02	7.448e-01
NF1	1.431e-01	7.669e-02
NF2	1.893e-01	1.869e-02
NFE2L2	-1.597e-02	8.441e-01
NFKBIA	2.834e-01	3.681e-04
NHP2	-1.933e-01	1.630e-02
NKX2-1	2.586e-01	1.202e-03
NKX3-1	7.113e-02	3.807e-01
NOTCH1	-4.968e-03	9.512e-01
NOTCH2	-9.455e-02	2.435e-01
NOTCH3	8.978e-02	2.682e-01
NOTCH4	-5.518e-02	4.967e-01
NPM1	1.658e-01	3.990e-02
NQO1	-8.907e-02	2.720e-01
NRAS	-1.931e-01	1.643e-02
NRG1	3.959e-02	6.259e-01
NRIP1	-8.846e-02	2.753e-01
NSD1	-1.703e-01	3.472e-02
NSD2	2.921e-01	2.369e-04
NT5C2	3.483e-02	6.680e-01
NTHL1	-2.663e-02	7.430e-01
NTRK1	-1.140e-01	1.590e-01
NTRK2	9.154e-02	2.588e-01
NTRK3	-2.072e-01	9.937e-03
NUDT15	-2.325e-02	7.747e-01
NUP93	-1.205e-03	9.882e-01
NUP98	5.609e-02	4.896e-01
P2RY8	-1.884e-01	1.926e-02
PA2G4	4.737e-02	5.596e-01
PAK1	1.780e-01	2.718e-02
PAK3	-2.147e-01	7.502e-03
PAK5	-8.637e-02	2.868e-01
PALB2	1.246e-02	8.782e-01
PALLD	5.428e-02	5.037e-01
PARK2	-1.292e-01	1.102e-01
PARP1	1.169e-01	1.487e-01
PAX5	1.393e-01	8.488e-02
PAX7	4.645e-02	5.673e-01
PAX8	1.459e-01	7.109e-02
PBRM1	-8.201e-02	3.119e-01
PCBP1	6.727e-02	4.071e-01
PDCD1	-7.501e-02	3.552e-01
PDCD1LG2	2.246e-01	5.104e-03
PDGFRA	-9.695e-02	2.316e-01
PDGFRB	9.082e-02	2.626e-01
PDK1	-9.324e-03	9.086e-01
PDPK1	-3.927e-02	6.287e-01
PELP1	-3.122e-02	7.007e-01
PGR	8.532e-02	2.928e-01
PHB2	2.719e-01	6.460e-04
PHF6	-2.055e-01	1.055e-02
PHOX2B	-6.973e-02	3.902e-01
PIAS4	-7.706e-02	3.422e-01
PIK3C2B	-1.289e-02	8.739e-01
PIK3C2G	1.084e-01	1.809e-01
PIK3C3	2.912e-01	2.481e-04
PIK3CA	1.505e-01	6.244e-02
PIK3CB	1.724e-01	3.255e-02
PIK3CD	-1.394e-02	8.638e-01
PIK3CG	-1.202e-01	1.375e-01
PIK3R1	7.853e-02	3.330e-01
PIK3R2	-5.383e-02	5.073e-01
PIK3R3	-1.079e-01	1.830e-01
PIM1	-1.028e-01	2.048e-01
PLCG2	-1.375e-01	8.911e-02
PLK2	-1.075e-01	1.845e-01
PML	-9.657e-02	2.335e-01
PMS1	-7.898e-02	3.302e-01
PMS2	-2.007e-01	1.255e-02
PNRC1	4.935e-02	5.433e-01
POLD1	1.425e-01	7.789e-02
POLE	4.071e-02	6.161e-01
POLH	-9.925e-03	9.028e-01
POT1	9.926e-02	2.207e-01
POU2F2	4.249e-02	6.008e-01
PPP1CA	3.056e-01	1.163e-04
PPP1CB	1.739e-01	3.101e-02
PPP1CC	2.645e-02	7.447e-01
PPP1R15A	-1.009e-01	2.129e-01
PPP2CA	6.172e-02	4.470e-01
PPP2CB	-9.275e-02	2.526e-01
PPP2R1A	2.963e-02	7.153e-01
PPP2R1B	-2.321e-01	3.771e-03
PPP2R2A	1.287e-01	1.117e-01
PPP6C	-7.061e-02	3.842e-01
PRAME	3.972e-02	6.248e-01
PRCC	5.688e-02	4.835e-01
PRDM1	-9.984e-02	2.180e-01
PREX2	1.529e-01	5.841e-02
PRF1	-5.007e-02	5.374e-01
PRKAR1A	-1.038e-01	2.002e-01
PRKCI	-1.659e-01	3.970e-02
PRKCZ	-1.189e-01	1.419e-01
PRKDC	-1.167e-01	1.496e-01
PRPF40B	6.521e-02	4.217e-01
PRSS1	2.039e-01	1.121e-02
PRSS2	2.878e-01	2.954e-04
PRSS8	1.466e-02	8.568e-01
PTCH1	-1.004e-01	2.152e-01
PTCH2	-2.259e-01	4.845e-03
PTEN	7.129e-02	3.796e-01
PTK2	-1.627e-01	4.373e-02
PTPN11	-1.094e-01	1.769e-01
PTPN13	-3.682e-02	6.503e-01
PTPN22	8.031e-02	3.221e-01
PTPRD	-6.215e-02	4.438e-01
QKI	4.516e-03	9.557e-01
RAB35	-1.446e-01	7.350e-02
RAC1	-1.724e-01	3.255e-02
RAD21	8.411e-02	2.997e-01
RAD50	2.299e-02	7.772e-01
RAD51	nan	nan
RAD51B	-7.912e-02	3.294e-01
RAD51C	1.650e-02	8.390e-01
RAD51D	-1.182e-01	1.443e-01
RAD52	2.849e-01	3.413e-04
RAD54L	-1.953e-01	1.522e-02
RAF1	8.878e-02	2.736e-01
RANBP2	7.782e-02	3.374e-01
RARA	-1.346e-02	8.684e-01
RASA1	-5.178e-02	5.236e-01
RB1	-1.485e-01	6.605e-02
RBL1	-2.336e-01	3.542e-03
RBL2	1.996e-01	1.306e-02
RBM10	1.433e-01	7.625e-02
RECQL4	1.964e-01	1.466e-02
REL	2.858e-02	7.249e-01
RET	2.076e-02	7.983e-01
RHOA	9.273e-02	2.527e-01
RHPN2	-6.156e-02	4.482e-01
RICTOR	-5.429e-02	5.037e-01
RINT1	-2.102e-01	8.889e-03
RIT1	6.694e-02	4.095e-01
RNF139	-1.840e-01	2.237e-02
RNF43	5.433e-02	5.033e-01
ROS1	-1.932e-01	1.636e-02
RPL5	9.141e-02	2.595e-01
RPS15	1.384e-01	8.687e-02
RPS6KA4	1.562e-01	5.312e-02
RPS6KB1	-3.965e-02	6.254e-01
RPS6KB2	2.864e-01	3.165e-04
RPTOR	-7.894e-02	3.305e-01
RSF1	-2.727e-02	7.371e-01
RUNX1	-6.127e-02	4.504e-01
RUNX1T1	-5.619e-03	9.449e-01
RXRA	5.958e-02	4.630e-01
SCG5	-5.174e-02	5.240e-01
SDHA	-1.728e-01	3.211e-02
SDHAF2	-8.001e-02	3.239e-01
SDHB	nan	nan
SDHC	2.233e-02	7.834e-01
SDHD	1.704e-01	3.457e-02
SEC23B	-6.372e-02	4.324e-01
SEMA3C	2.533e-01	1.526e-03
SETBP1	1.577e-01	5.083e-02
SETD2	1.076e-01	1.841e-01
SF1	1.254e-01	1.211e-01
SF3B1	1.510e-01	6.160e-02
SGK1	4.443e-02	5.843e-01
SH2B3	-1.404e-01	8.242e-02
SH2D1A	5.101e-02	5.298e-01
SHQ1	2.499e-01	1.770e-03
SKP1	-1.715e-01	3.349e-02
SLC26A3	-1.902e-01	1.815e-02
SLC47A2	-1.114e-02	8.909e-01
SLIT2	-7.759e-02	3.389e-01
SLX4	5.683e-02	4.839e-01
SMAD2	1.369e-01	9.053e-02
SMAD3	5.611e-02	4.895e-01
SMAD4	-1.449e-01	7.298e-02
SMARCA1	-7.909e-02	3.295e-01
SMARCA4	4.729e-03	9.536e-01
SMARCB1	-2.283e-02	7.787e-01
SMARCE1	-3.676e-02	6.509e-01
SMC1A	-2.013e-01	1.228e-02
SMC3	-3.983e-02	6.238e-01
SMO	-1.704e-01	3.464e-02
SNCAIP	-5.530e-02	4.957e-01
SOCS1	-1.838e-01	2.247e-02
SOD2	-1.403e-01	8.275e-02
SOX10	4.825e-02	5.523e-01
SOX17	-9.521e-02	2.401e-01
SOX2	3.384e-01	1.770e-05
SOX9	-6.208e-02	4.444e-01
SPEN	-3.091e-02	7.035e-01
SPINK1	-8.128e-02	3.163e-01
SPOP	-1.754e-02	8.290e-01
SPRED1	9.547e-02	2.389e-01
SPTA1	2.414e-04	9.976e-01
SQSTM1	1.373e-01	8.941e-02
SRC	1.971e-01	1.429e-02
SRSF2	-6.649e-02	4.126e-01
STAG1	-9.272e-02	2.527e-01
STAG2	-9.982e-02	2.180e-01
STAT3	-8.879e-02	2.735e-01
STAT4	-3.224e-02	6.915e-01
STAT5A	-5.707e-02	4.821e-01
STAT5B	-3.941e-02	6.275e-01
STAT6	8.587e-02	2.896e-01
STK11	2.021e-01	1.197e-02
SUFU	4.194e-02	6.056e-01
SUZ12	-7.156e-02	3.778e-01
SYK	-5.020e-02	5.364e-01
TAF1	-9.121e-02	2.606e-01
TANC1	-2.139e-02	7.923e-01
TAP1	-7.163e-02	3.773e-01
TAP2	-1.331e-01	9.985e-02
TBC1D12	4.182e-02	6.066e-01
TBL1XR1	-3.201e-01	5.185e-05
TBX3	-4.161e-02	6.084e-01
TCF3	1.854e-02	8.194e-01
TCF7L2	-4.875e-03	9.522e-01
TCL1A	-7.578e-02	3.503e-01
TERT	-1.636e-01	4.257e-02
TET1	8.902e-02	2.723e-01
TET2	-2.410e-02	7.667e-01
TFDP1	1.929e-01	1.651e-02
TFF1	3.183e-02	6.952e-01
TGFBR1	-6.049e-02	4.561e-01
TGFBR2	1.745e-01	3.044e-02
TIGIT	-7.381e-03	9.276e-01
TLR4	9.472e-02	2.426e-01
TMEM127	1.229e-01	1.289e-01
TMEM173	-3.546e-02	6.624e-01
TMPRSS2	-9.585e-02	2.370e-01
TNF	1.378e-02	8.653e-01
TNFAIP3	-1.253e-02	8.774e-01
TNFRSF14	-1.814e-02	8.233e-01
TNFRSF17	7.391e-02	3.623e-01
TNFRSF9	3.019e-03	9.704e-01
TOP1	-1.698e-01	3.523e-02
TOP2A	1.098e-01	1.754e-01
TP53	-1.580e-01	5.032e-02
TP63	-2.512e-01	1.678e-03
TPM1	1.305e-01	1.067e-01
TPMT	1.718e-02	8.325e-01
TPRX1	8.062e-02	3.203e-01
TRAF2	2.077e-01	9.740e-03
TRAF3	8.666e-02	2.852e-01
TRAF7	6.136e-02	4.497e-01
TSC1	4.995e-03	9.510e-01
TSC2	-6.793e-03	9.334e-01
TSHR	2.169e-02	7.894e-01
TUSC3	-3.518e-02	6.649e-01
TYMS	2.173e-02	7.891e-01
U2AF1	1.100e-01	1.745e-01
UBE2T	2.830e-02	7.275e-01
UMPS	-4.326e-02	5.942e-01
UPF1	1.548e-02	8.489e-01
VEGFA	1.095e-01	1.763e-01
VHL	-8.629e-02	2.873e-01
VSIR	-5.535e-02	4.954e-01
WEE1	7.248e-02	3.717e-01
WISP3	-4.092e-02	6.144e-01
WNT7A	2.381e-01	2.940e-03
WRN	4.180e-02	6.067e-01
WT1	-1.347e-01	9.579e-02
XPA	-9.953e-02	2.194e-01
XPC	6.199e-02	4.450e-01
XPO1	1.881e-01	1.951e-02
XRCC1	-3.666e-02	6.517e-01
XRCC2	1.106e-01	1.723e-01
XRCC3	2.413e-02	7.664e-01
YAP1	-1.839e-01	2.239e-02
YEATS4	1.658e-01	3.993e-02
ZBTB2	-5.707e-02	4.820e-01
ZFHX3	-8.172e-02	3.137e-01
ZNF217	2.607e-01	1.092e-03
ZNF471	-9.459e-02	2.433e-01
ZNF620	-1.833e-01	2.287e-02
ZNF703	9.257e-02	2.535e-01
ZNF750	7.274e-03	9.287e-01
ZNRF3	3.242e-02	6.898e-01
ZRSR2	1.233e-01	1.276e-01
ABCB1	-1.860e-01	2.412e-02
ABCC3	1.665e-01	4.384e-02
ABL1	-1.906e-02	8.187e-01
ABL2	1.385e-01	9.432e-02
ACTA2	1.621e-01	4.976e-02
ACVR1B	-4.099e-02	6.221e-01
ADGRA2	2.184e-02	7.929e-01
AJUBA	1.163e-01	1.608e-01
AKT1	1.254e-01	1.300e-01
AKT2	-3.981e-02	6.321e-01
AKT3	1.572e-02	8.501e-01
ALK	2.351e-01	4.151e-03
ALOX12B	1.345e-01	1.043e-01
AMER1	1.849e-01	2.497e-02
ANKRD11	-1.399e-01	9.096e-02
APC	7.279e-02	3.809e-01
APOB	6.807e-03	9.348e-01
AR	-1.848e-01	2.506e-02
ARAF	2.175e-01	8.147e-03
ARFRP1	-2.740e-01	7.857e-04
ARHGAP26	-2.081e-02	8.025e-01
ARHGAP35	-1.373e-01	9.727e-02
ARID1A	1.651e-02	8.426e-01
ARID1B	6.800e-02	4.132e-01
ARID2	-1.941e-02	8.155e-01
ARID5B	1.673e-01	4.283e-02
ASNS	2.428e-01	3.044e-03
ASXL1	-2.127e-01	9.697e-03
ASXL2	3.362e-02	6.860e-01
ATIC	2.213e-01	7.066e-03
ATM	6.554e-02	4.303e-01
ATP7B	-7.327e-02	3.778e-01
ATR	-5.348e-02	5.200e-01
ATRX	-2.370e-01	3.851e-03
AURKA	2.308e-01	4.917e-03
AURKB	4.975e-02	5.496e-01
AXIN1	5.572e-02	5.027e-01
AXIN2	8.631e-03	9.174e-01
AXL	8.074e-02	3.310e-01
B2M	1.388e-01	9.361e-02
BAP1	-6.542e-02	4.311e-01
BARD1	-7.541e-02	3.640e-01
BCAR1	-2.504e-02	7.633e-01
BCL10	1.109e-01	1.810e-01
BCL11B	1.404e-01	8.996e-02
BCL2	2.705e-01	9.194e-04
BCL2L1	-2.339e-01	4.353e-03
BCL2L11	-1.803e-01	2.885e-02
BCL2L12	-1.857e-01	2.434e-02
BCL2L2	1.721e-01	3.713e-02
BCL6	-2.586e-01	1.563e-03
BCL7A	1.177e-02	8.875e-01
BCLAF1	-9.547e-02	2.500e-01
BCOR	-1.758e-01	3.315e-02
BCORL1	1.454e-01	7.893e-02
BCR	1.676e-01	4.246e-02
BIRC3	1.525e-01	6.515e-02
BLM	7.864e-02	3.437e-01
BMPR1A	3.061e-02	7.128e-01
BRAF	5.718e-02	4.915e-01
BRCA1	3.202e-02	7.002e-01
BRCA2	-7.508e-02	3.661e-01
BRD4	2.357e-03	9.774e-01
BRIP1	5.499e-02	5.083e-01
BTG1	1.192e-01	1.505e-01
BTK	3.073e-03	9.705e-01
BUB1B	-6.176e-02	4.574e-01
C11orf65	2.523e-01	2.052e-03
C3orf70	-2.392e-01	3.531e-03
C8orf34	6.400e-02	4.412e-01
CADM2	7.805e-02	3.474e-01
CALR	-2.011e-01	1.461e-02
CARD11	-2.046e-01	1.291e-02
CASP8	-1.773e-01	3.165e-02
CASR	7.932e-02	3.396e-01
CBFB	-4.859e-02	5.589e-01
CBL	4.546e-02	5.845e-01
CBLB	-6.430e-02	4.391e-01
CBLC	3.132e-02	7.065e-01
CBR3	-9.339e-02	2.605e-01
CCDC6	6.745e-02	4.170e-01
CCND1	2.106e-01	1.046e-02
CCND2	1.101e-01	1.843e-01
CCND3	3.017e-02	7.168e-01
CCNE1	7.809e-02	3.471e-01
CCNE2	-2.458e-02	7.676e-01
CD19	-1.171e-02	8.881e-01
CD22	-1.202e-01	1.468e-01
CD274	1.690e-01	4.071e-02
CD276	1.053e-01	2.042e-01
CD40	2.446e-01	2.834e-03
CD70	-1.151e-01	1.652e-01
CD79A	-2.621e-03	9.749e-01
CD79B	-9.546e-02	2.501e-01
CDC25A	-3.135e-02	7.062e-01
CDC73	-7.117e-03	9.318e-01
CDH1	9.567e-02	2.491e-01
CDH2	-4.504e-02	5.880e-01
CDK12	1.767e-01	3.231e-02
CDK4	5.189e-02	5.325e-01
CDK5	1.516e-01	6.677e-02
CDK6	2.303e-01	5.016e-03
CDK8	1.175e-01	1.563e-01
CDKN1A	1.490e-01	7.165e-02
CDKN1B	1.014e-01	2.216e-01
CDKN1C	1.320e-02	8.740e-01
CDKN2A	-2.398e-01	3.444e-03
CDKN2B	-7.127e-02	3.910e-01
CDKN2C	-1.261e-01	1.282e-01
CEBPA	-5.710e-02	4.921e-01
CEP57	-2.184e-01	7.878e-03
CFTR	1.807e-01	2.854e-02
CHD2	6.286e-02	4.494e-01
CHD4	1.932e-02	8.163e-01
CHEK1	-9.411e-02	2.569e-01
CHEK2	-1.238e-01	1.351e-01
CIC	1.515e-01	6.704e-02
CIITA	-1.162e-01	1.610e-01
CKS1B	1.071e-01	1.967e-01
CREBBP	-3.015e-01	2.063e-04
CRKL	-2.159e-01	8.643e-03
CRLF2	-3.834e-02	6.447e-01
CSF1R	1.457e-01	7.833e-02
CSF3R	-1.035e-01	2.124e-01
CTC1	-5.463e-02	5.110e-01
CTCF	-1.683e-01	4.157e-02
CTLA4	7.534e-03	9.278e-01
CTNNA1	-9.348e-02	2.601e-01
CTNNB1	-1.691e-01	4.066e-02
CTRC	-1.297e-01	1.173e-01
CUL3	2.266e-02	7.853e-01
CUX1	7.860e-02	3.440e-01
CXCR4	1.122e-01	1.762e-01
CYLD	1.488e-01	7.198e-02
